naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
Adapter za crijevo za kisik,1036569,Salter Labs,,,1.96,NE,,1.96,,dostupno
Antidekubitalni jastuk za invalidska kolica - 38cm*38cm*6cm,829022.38,Identites,,,69.00,NE,,69.00,3701127716832,nedostupno
Antidekubitalni jastuk za invalidska kolica - 41cm*39*6cm,829022.41S,Identites,,,69.00,NE,,69.00,3701127700022,nedostupno
Antidekubitalni jastuk za invalidska kolica - 41cm*41cm*6cm,829022.41,Identites,,,69.00,NE,,69.00,3701127716818,nedostupno
Antidekubitalni jastuk za invalidska kolica - 43cm*41cm*6cm,829022.43S,Identites,,,69.00,NE,,69.00,3701127700039,nedostupno
Antidekubitalni jastuk za invalidska kolica - 43cm*43cm*6cm,829022.43,Identites,,,69.00,NE,,69.00,3701127716849,nedostupno
Antidekubitalni jastuk za invalidska kolica - 45cm*42cm*6cm,829022.45S,Identites,,,69.00,NE,,69.00,3701127700046,nedostupno
Antidekubitalni jastuk za sjedenje 829013,OXY-829013,Identites,,,56.00,NE,,56.00,8432679432134,dostupno
Antidekubitalni nadmadrac 823024,OXY-823024,Identites,,,75.00,NE,,75.00,3760223838022,nedostupno
"Armfit+ tlakomjer s EKG funkcijom , Bluetooth povezivost",OXY-Armfit+,Lepu Medical,,,165.00,NE,,165.00,,dostupno
Aspirator za uši 819150,OXY-819150,Identites,,,10.50,NE,,10.50,3574590139206,dostupno
Aston tuš stolica/WC,822165,Identites,,,399.00,NE,,399.00,3760223833775,nedostupno
Azores sklopivo sjedalo za tuš,812298N,Identites,,,99.90,NE,,99.90,3760223836554,nedostupno
Beurer set od 8 elektroda za TENS,EM49,Beurer,,,20.00,NE,,20.00,4211125661021,dostupno
Bočica za kisik 5L,1337/0810081,Salter Labs,,,5.00,NE,,5.00,,dostupno
Contour CPAP jastuk,01MT003,Contour,,,67.79,NE,,67.79,,dostupno
Creative pulsni oksimetar PC-60B1,1265,Creative Medical,,,35.00,NE,,35.00,,nedostupno
"Crijevo za kisik 7,6 m",2025,TIK Zagreb,,,2.90,NE,,2.90,,nedostupno
Daska za sjedenje za kadu Java 812176N,OXY-812176N,Identites,,,58.00,NE,,58.00,3760223830118,dostupno
Dječja štaka plava 816120.B,OXY-816120.B,Identites,,,17.50,NE,,17.50,8436533436306,dostupno
Dječja štaka plava 816120.T,OXY-816120.T,Identites,,,17.50,NE,,17.50,8436533436313,dostupno
Dječja štaka zelena 816120.P,OXY-816120.P,Identites,,,17.50,NE,,17.50,8436533436283,dostupno
dr.Frei elastični steznik za koljeno - L,S6040L,dr.Frei,,,15.00,NE,,15.00,7640162325523,dostupno
dr.Frei elastični steznik za koljeno - M,S6040M,dr.Frei,,,15.00,NE,,15.00,7640162325516,nedostupno
dr.Frei elastični steznik za koljeno - S,S6040S,dr.Frei,,,15.00,NE,,15.00,7640162325509,nedostupno
dr.Frei elastični steznik za koljeno - XL,S6040XL,dr.Frei,,,15.00,NE,,15.00,7640162325530,nedostupno
dr.Frei elastični steznik za lakat - L,S8317L,dr.Frei,,,12.00,NE,,12.00,7640162325608,nedostupno
dr.Frei elastični steznik za lakat - M,S8317M,dr.Frei,,,12.00,NE,,12.00,7640162325592,nedostupno
dr.Frei elastični steznik za lakat - S,S8317S,dr.Frei,,,12.00,NE,,12.00,7640162325585,nedostupno
